Exam ID,Exam Name,Skills
1,Cocubes,coding  problemsolving  analyze
2,Amcat,WET Aptitude Coding
3,MET,English Quantitative Domain  Computer Fundamentals Coding
4,WeCP,"Numerical Ability, Logical Reasoning, Domain, Coding"
5,MyAnatomy,NumericalAbility LogicalReasoning Domain Coding
6,Cocubes,English Quantitative Domain Coding
7,MyAnatomy,NumericalAbility LogicalReasoning Domain Coding
8,eLitmus,ProblemSolving Quantitative Aptitude Verbal
9,MET,English Quantitative Domain ComputerFundamentals Coding
10,Amcat,WET Aptitude Coding
11,HackerRank,Aptitude Domain Coding
12,CEAT,ProblemSolving  Quantitative Aptitude Domain Coding
13,TCS Ion CCQT,English LogicalReasoning WET Coding
14,eLitmus,ProblemSolving Quantitative Aptitude Verbal
15,code chef,problemSolving dataanalytics webdevelopment coding
16,civil services,analyticalthinking organizationalskills interpersonalskills reserchandanalysis
17,jee main,mathematics physics chemistry problemsolving strongconceptualunderstanding analyticalandlogicalthinking
18,neet,digitalliteracy problemsolving biology physics chemistry
19,NDA,goodphysicalfitness communicationskills strongacademicbackground
20,SSC CHSL,timemanagement strongreasoning analyticalskills english
21,IBPS PO,analyticalskills goodcommunication mathematics bankingsector current affairs
22,SSC GD CONSTABLE ,goodphysicalfitness communicationskills strongacademicbackground
23,SSC MTS,goodphysicalfitness communicationskills strongacademicbackground
24,SBI PO,strongreasoning analyticalskills goodcommunication mathematics bankingsector current affairs
25,CAT,strongreasoning analyticalskills business problemsolvingskills currentaffairs
26,CLAT,reasoning analyticalskills english legalsystem currentaffairs problemsolving timemanagement
27,IBPS CLERK,dataentry cashhandling loanpayment financialtransactions ACH bankdeposits checkimages
28,UGC NET,social science computerscienceandapplications electronicscience reasoning
29,GMAT,quantitative verbal integrated reasoningskills
30,Web Development Test-1,Python CPP Linux OS
31,Web Development Test-2,Python CPP Linux OS
